Product Name,Brand,Barcode
Coniglio omogeneizzato,Kraft Heinz,8001040093610
Baby food,Heinz,05722608
Baby food banana,Heinz,0735051016853
"Chicken, sweet corn & mango",Heinz,9300657131050
Biscotto,Kraft Heinz,8001040091876
smoothie pear betty & oat,Heinz,9300657130763
Pumpkin potato and beef baby food,Heinz,93772020
heinz tropical baby food,Heinz,9300657132484
Hnz app/bry/pass 120g,Heinz,9300657130961
Heinz bb food Beef  Vegetable 170g,Heinz,9300657161569
Heinz creamed porridge imp,Heinz,5000157140319
Heinz carrot potato baby food imp,Heinz,5000157144126
Heinz baby food Tropical Fruits,Heinz,0608875003258
Theething rusks,Heinz,9300657002343
Hnz Smth ban&oat ygt 120g,Heinz,9300657130770
Pear and BlackBerry Custard,Heinz,9300657132477
Formaggino fuso omogeneizzato,Kraft Heinz,8001040002087
Pollo Plasmon,Kraft Heinz,8001040016541
HNZ bb food  APPLE 110g,Heinz,93657037
Heinz For Baby - Beef Bolognese & Vegetables,Heinz,9300657225759
Omogeneizzati di pollo,Kraft Heinz,8001040089200
La pastina,Kraft Heinz,8001040012413
omogenizzati frutta mista nipiol,Kraft Heinz,8001040093634
Omogenizzati frutta,Kraft Heinz,8001040093627
Omogeneizzato agnello,Kraft Heinz,8001040093566
pear baby food,Heinz,0735051000579
Guava Baby Food,Heinz,0735051000647
TATA Salt,Tata,8904043901268
salt,Tata,8901052010295
Poisson salt et pepper,The tasty catch,4088600398693
